system:index,BurnDate,FirstDay,LastDay,QA,Uncertainty,.geo
25440_0,244.0,177.0,218.0,3.0,10.0,
25677_0,201.0,175.5,190.0,3.0,3.0,
25728_0,210.0,177.0,190.0,3.0,1.0,
25760_0,248.0,175.0,190.0,3.0,6.0,
25795_0,350.0,174.5,190.0,3.0,2.0,
25836_0,110.0,174.5,189.5,3.0,1.0,
25950_0,196.0,174.5,189.5,3.0,3.0,
26375_0,342.0,178.0,187.5,3.0,7.0,
26576_0,344.0,174.5,190.0,3.0,5.0,
26591_0,190.0,177.5,190.0,3.0,2.0,
26848_0,217.0,177.5,187.5,3.0,8.0,
26881_0,192.0,175.5,190.0,3.0,1.0,
27056_0,217.0,177.5,189.5,3.0,1.0,
27086_0,282.0,175.5,190.0,3.0,2.0,
27105_0,293.0,175.0,190.0,3.0,1.0,
27118_0,161.0,176.0,190.0,3.0,3.0,
27171_0,249.0,176.5,190.0,3.0,6.0,
27210_0,223.0,177.0,189.5,3.0,1.0,
27324_0,338.0,175.0,190.0,3.0,1.0,
27347_0,248.0,175.0,190.0,3.0,8.0,
27400_0,246.0,177.0,190.0,3.0,10.0,
27508_0,222.0,177.0,190.0,3.0,1.0,
27823_0,189.0,175.5,190.0,3.0,2.0,
27864_0,245.0,176.5,188.5,3.0,2.0,
27865_0,250.0,176.5,220.0,3.0,2.0,
28059_0,209.0,190.0,236.0,3.0,1.0,
28312_0,342.0,175.0,190.0,3.0,3.0,
28657_0,340.0,175.0,190.0,3.0,3.0,
28670_0,341.0,175.0,189.5,3.0,1.0,
28987_0,286.0,175.5,190.0,3.0,1.0,
29077_0,345.0,174.5,190.0,3.0,3.0,
29106_0,339.0,175.0,189.5,3.0,2.0,
29143_0,341.0,178.5,187.0,3.0,1.0,
29255_0,339.0,175.0,189.5,3.0,2.0,
29279_0,350.0,177.0,190.0,3.0,2.0,
29350_0,340.0,175.0,190.0,3.0,3.0,
29474_0,241.0,176.5,189.5,3.0,2.0,
29581_0,190.0,175.5,189.0,3.0,1.0,
