system:index,elevation,.geo
953_0,2547,
954_0,2711,
955_0,65,
956_0,846,
957_0,347,
958_0,1966,
959_0,929,
960_0,319,
961_0,42,
962_0,2634,
963_0,1516,
965_0,1336,
966_0,591,
968_0,-17,
969_0,1113,
970_0,46,
971_0,570,
972_0,1475,
973_0,1396,
974_0,1376,
975_0,1647,
976_0,599,
977_0,370,
978_0,151,
979_0,1359,
980_0,56,
981_0,841,
982_0,75,
983_0,1798,
984_0,2457,
985_0,249,
986_0,653,
987_0,873,
988_0,111,
989_0,287,
990_0,377,
991_0,1136,
992_0,13,
994_0,366,
995_0,1676,
996_0,994,
997_0,1827,
998_0,47,
999_0,3005,
1000_0,1688,
1001_0,294,
1002_0,1872,
1003_0,551,
1004_0,390,
1005_0,505,
1006_0,798,
1007_0,1654,
1008_0,533,
1009_0,1066,
1010_0,1920,
1011_0,1652,
1012_0,254,
1014_0,3559,
1015_0,665,
1016_0,26,
1017_0,10,
1018_0,1279,
1019_0,2157,
1020_0,282,
1021_0,204,
1022_0,2529,
1023_0,957,
1024_0,734,
1025_0,2015,
1026_0,100,
1027_0,212,
1028_0,455,
1029_0,1419,
1030_0,2433,
1031_0,2883,
1032_0,519,
1033_0,21,
1034_0,760,
1035_0,77,
1036_0,103,
1037_0,44,
1038_0,979,
1039_0,318,
1040_0,246,
1041_0,1349,
1042_0,82,
1043_0,1520,
1044_0,2118,
1045_0,470,
1046_0,1809,
1048_0,648,
1049_0,717,
1051_0,49,
1052_0,2070,
1053_0,324,
1054_0,1093,
1055_0,302,
1056_0,135,
1057_0,1073,
1058_0,1707,
1059_0,786,
1060_0,907,
1061_0,666,
1062_0,825,
1063_0,1149,
1064_0,143,
1065_0,107,
1066_0,460,
1067_0,3,
1068_0,-24,
1069_0,388,
1071_0,512,
1072_0,806,
1073_0,727,
1074_0,1347,
1075_0,1527,
1076_0,1840,
1077_0,199,
1078_0,838,
1079_0,126,
1080_0,1083,
1081_0,299,
1082_0,617,
1084_0,630,
1085_0,77,
1086_0,1546,
1087_0,1024,
1088_0,1394,
1089_0,1898,
1090_0,100,
1091_0,301,
1092_0,1722,
1093_0,111,
1094_0,837,
1095_0,2753,
1096_0,1600,
1097_0,1208,
1098_0,271,
1100_0,463,
1101_0,1411,
1102_0,1376,
1103_0,1144,
1104_0,9,
1105_0,1677,
1107_0,191,
1108_0,447,
1109_0,89,
1110_0,1557,
1111_0,35,
1112_0,680,
1113_0,1501,
1114_0,297,
1115_0,953,
1116_0,-2,
1117_0,2360,
1118_0,1953,
1119_0,307,
1120_0,505,
1121_0,536,
1122_0,1352,
1123_0,738,
1124_0,560,
1125_0,493,
1126_0,1003,
1127_0,81,
1129_0,-4,
1130_0,693,
1131_0,970,
1132_0,385,
1133_0,30,
1134_0,1122,
1135_0,551,
1136_0,1857,
1137_0,344,
1138_0,673,
1139_0,383,
1140_0,720,
1141_0,557,
1142_0,292,
1143_0,171,
1144_0,-71,
1145_0,327,
1146_0,2050,
1147_0,1269,
1148_0,1155,
1150_0,121,
1151_0,44,
1152_0,205,
1153_0,884,
1154_0,468,
1155_0,370,
1156_0,53,
1157_0,959,
1158_0,506,
1159_0,780,
1160_0,280,
1161_0,275,
1163_0,1123,
1164_0,924,
1165_0,44,
1166_0,1031,
1167_0,256,
1168_0,925,
1169_0,8,
1170_0,41,
1171_0,1706,
1172_0,1551,
1174_0,905,
1175_0,2060,
1176_0,593,
1177_0,272,
1178_0,1549,
1179_0,131,
1180_0,1434,
1181_0,43,
1182_0,800,
1183_0,1707,
1184_0,-43,
1185_0,-84,
1186_0,110,
1187_0,89,
1188_0,616,
1189_0,1746,
1190_0,8,
1191_0,1765,
1192_0,2127,
1193_0,1821,
1194_0,87,
1195_0,900,
1196_0,845,
1197_0,272,
1198_0,2084,
1200_0,598,
1202_0,154,
1203_0,344,
1204_0,703,
1205_0,1604,
1206_0,362,
1208_0,582,
1209_0,1560,
1210_0,1608,
1212_0,112,
1214_0,365,
1215_0,1140,
1217_0,1677,
1218_0,1531,
1219_0,24,
1220_0,2590,
1221_0,78,
1222_0,445,
1223_0,69,
1224_0,1107,
1225_0,471,
1226_0,323,
1227_0,-40,
1228_0,1393,
1229_0,85,
1230_0,794,
1232_0,1522,
