system:index,elevation,.geo
8572_0,1152,
8573_0,1240,
8574_0,800,
8576_0,1039,
8577_0,1897,
8578_0,1231,
8579_0,1434,
8580_0,436,
8582_0,1184,
8583_0,10,
8584_0,2233,
8585_0,1717,
8586_0,1794,
8587_0,93,
8588_0,2342,
8589_0,2368,
8591_0,235,
8592_0,69,
8593_0,982,
8594_0,8,
8595_0,1221,
8596_0,2953,
8597_0,1100,
8598_0,1609,
8599_0,1409,
8600_0,378,
8601_0,94,
8602_0,1502,
8603_0,991,
8604_0,1833,
8605_0,74,
8607_0,766,
8608_0,0,
8609_0,687,
8610_0,1532,
8611_0,1364,
8613_0,560,
8614_0,1871,
8615_0,1851,
8616_0,1828,
8617_0,789,
8618_0,449,
8619_0,24,
8620_0,2087,
8621_0,132,
8622_0,669,
8625_0,1046,
8626_0,695,
8627_0,668,
8628_0,545,
8629_0,1694,
8630_0,1625,
8631_0,2244,
8632_0,1793,
8633_0,1228,
8634_0,2624,
8635_0,116,
8636_0,974,
8637_0,293,
8638_0,1415,
8639_0,500,
8640_0,1355,
8641_0,25,
8642_0,1083,
8643_0,257,
8644_0,969,
8645_0,768,
8647_0,50,
8648_0,149,
8649_0,235,
8650_0,1533,
8651_0,372,
8652_0,672,
8653_0,1133,
8654_0,130,
8655_0,129,
8656_0,223,
8657_0,527,
8658_0,260,
8659_0,68,
8660_0,1198,
8661_0,979,
8662_0,2300,
8663_0,2356,
8664_0,558,
8665_0,44,
8666_0,620,
8667_0,1172,
8669_0,773,
8672_0,1901,
8673_0,61,
8675_0,1839,
8676_0,2682,
8677_0,340,
8678_0,74,
8680_0,1835,
8681_0,2498,
8682_0,1984,
8683_0,1342,
8684_0,853,
8685_0,714,
8686_0,1354,
8687_0,1091,
8688_0,1254,
8689_0,935,
8690_0,1223,
8691_0,210,
8692_0,2182,
8693_0,1274,
8695_0,562,
8696_0,1,
8697_0,216,
8698_0,813,
8699_0,357,
8700_0,1901,
8701_0,11,
8703_0,28,
8705_0,2371,
8706_0,32,
8707_0,87,
8708_0,54,
8709_0,22,
8710_0,249,
8711_0,272,
8713_0,1040,
8714_0,921,
8715_0,1,
8716_0,7,
8717_0,98,
8718_0,-71,
8719_0,65,
8720_0,249,
8721_0,1862,
8722_0,1835,
8723_0,1356,
8724_0,32,
8725_0,586,
8726_0,1282,
8727_0,1499,
8728_0,301,
8729_0,225,
8730_0,320,
8731_0,2308,
8732_0,1065,
8733_0,205,
8734_0,1993,
8735_0,413,
8736_0,735,
8737_0,1504,
8738_0,1346,
8739_0,372,
8740_0,1400,
8741_0,1108,
8742_0,173,
8743_0,298,
8744_0,1779,
8745_0,1062,
8746_0,1579,
8747_0,2,
8748_0,49,
8749_0,938,
8750_0,483,
8752_0,2504,
8753_0,1249,
8754_0,3186,
8756_0,28,
8757_0,896,
8758_0,33,
8759_0,2999,
8760_0,583,
8761_0,329,
8762_0,30,
8763_0,741,
8764_0,1363,
8765_0,737,
8766_0,1203,
8767_0,858,
8768_0,1200,
8769_0,41,
8770_0,985,
8771_0,77,
8772_0,1266,
8773_0,869,
8774_0,17,
8775_0,1136,
8776_0,70,
8777_0,2317,
8778_0,268,
8779_0,482,
8780_0,699,
8781_0,133,
8782_0,154,
8783_0,1194,
8784_0,87,
8785_0,1055,
8786_0,194,
8787_0,1049,
8788_0,1254,
8789_0,2427,
8790_0,1248,
8791_0,1219,
8792_0,3816,
8793_0,305,
8794_0,40,
8795_0,1227,
8796_0,1984,
8797_0,15,
8798_0,839,
8799_0,1166,
8800_0,597,
8801_0,2392,
8802_0,132,
8803_0,1701,
8804_0,1941,
8805_0,34,
8806_0,7,
8807_0,1039,
8808_0,1422,
8809_0,680,
8810_0,23,
8811_0,553,
8812_0,868,
8813_0,8,
8814_0,415,
8815_0,-11,
8816_0,3390,
8817_0,2864,
8818_0,591,
8819_0,1415,
8820_0,21,
8822_0,988,
8824_0,902,
8825_0,569,
8826_0,1483,
8827_0,892,
8830_0,1897,
8831_0,1379,
8832_0,1165,
8833_0,94,
8834_0,107,
8835_0,37,
8836_0,829,
8837_0,237,
8838_0,1256,
8839_0,287,
8840_0,200,
8841_0,921,
8842_0,69,
8843_0,590,
8844_0,1349,
8845_0,1714,
8846_0,923,
8847_0,143,
8848_0,44,
8850_0,355,
8852_0,2378,
8853_0,412,
8854_0,1051,
8855_0,668,
8856_0,407,
8857_0,1149,
8859_0,1003,
8860_0,2,
8861_0,300,
8862_0,1010,
8863_0,46,
8864_0,163,
8865_0,1092,
8866_0,579,
8867_0,584,
8868_0,1068,
8869_0,1185,
8870_0,663,
8871_0,56,
8872_0,720,
8873_0,-46,
8874_0,1838,
8875_0,2579,
8876_0,1946,
8877_0,244,
8878_0,360,
8879_0,360,
8880_0,1513,
8882_0,1838,
8883_0,933,
8884_0,83,
8885_0,28,
8886_0,1013,
8887_0,2904,
8888_0,328,
8889_0,578,
8890_0,321,
8891_0,2467,
8892_0,304,
8893_0,672,
8894_0,2902,
8895_0,584,
8896_0,1859,
8897_0,2,
8898_0,2083,
8899_0,199,
8900_0,629,
8901_0,3326,
8902_0,801,
8904_0,91,
8905_0,1643,
8906_0,65,
8907_0,860,
8908_0,305,
8909_0,1113,
8910_0,458,
8912_0,59,
8913_0,719,
8915_0,344,
8916_0,75,
8917_0,403,
8918_0,174,
8919_0,1004,
8920_0,536,
8921_0,1244,
8922_0,436,
8923_0,152,
8924_0,938,
8925_0,173,
8926_0,2058,
8927_0,1510,
8928_0,606,
8929_0,243,
8930_0,549,
8931_0,1080,
8933_0,1757,
8934_0,471,
8935_0,676,
8936_0,374,
8937_0,1940,
8938_0,-68,
8939_0,3233,
8940_0,1042,
8941_0,579,
8942_0,1202,
8943_0,1375,
8944_0,55,
8945_0,361,
8947_0,752,
8948_0,33,
8949_0,1239,
8950_0,457,
8951_0,75,
8952_0,178,
8953_0,1941,
8954_0,15,
8955_0,238,
8956_0,46,
8958_0,-54,
8959_0,958,
8960_0,348,
8961_0,70,
8962_0,1344,
8963_0,699,
8964_0,386,
8965_0,81,
8966_0,75,
8967_0,545,
8968_0,1340,
8969_0,1130,
8970_0,1109,
8971_0,828,
8972_0,61,
8974_0,3,
8975_0,234,
8976_0,1327,
8977_0,952,
8978_0,2269,
8979_0,2056,
8980_0,1324,
8981_0,485,
8982_0,2029,
8983_0,826,
8984_0,546,
8985_0,855,
8986_0,182,
8987_0,242,
8988_0,65,
8989_0,73,
8990_0,884,
8991_0,644,
8992_0,806,
8993_0,214,
8994_0,1591,
8995_0,164,
8996_0,1293,
8997_0,2151,
8999_0,1418,
9000_0,141,
9001_0,-71,
9002_0,1332,
9003_0,51,
9004_0,451,
9005_0,980,
9006_0,3058,
9008_0,333,
9009_0,1308,
9010_0,1433,
9011_0,460,
9012_0,61,
9013_0,188,
9014_0,797,
9015_0,127,
9016_0,60,
9017_0,3331,
9018_0,199,
9019_0,1545,
9020_0,296,
9021_0,118,
9022_0,470,
9023_0,395,
9024_0,111,
9025_0,582,
9026_0,805,
9027_0,2347,
9028_0,397,
9029_0,1201,
9030_0,80,
9031_0,691,
9032_0,697,
9033_0,706,
9034_0,819,
9035_0,55,
9036_0,1361,
9037_0,768,
9038_0,474,
9039_0,415,
9040_0,2279,
9041_0,490,
9042_0,565,
9044_0,875,
9045_0,934,
9046_0,2317,
9047_0,860,
9048_0,852,
9049_0,882,
9050_0,217,
9051_0,90,
9052_0,2877,
9053_0,145,
9054_0,203,
9055_0,192,
9056_0,1572,
9057_0,80,
9058_0,-7,
9059_0,773,
9060_0,1360,
9061_0,100,
9062_0,2075,
9063_0,306,
9064_0,870,
9065_0,94,
9066_0,565,
9067_0,82,
9068_0,1189,
9069_0,-1,
9070_0,90,
9071_0,320,
9073_0,359,
9074_0,355,
9075_0,1455,
9076_0,1620,
9078_0,2580,
9079_0,218,
9080_0,775,
9081_0,1757,
9083_0,1840,
9084_0,1387,
9086_0,1525,
9087_0,1063,
9088_0,616,
9090_0,827,
9091_0,734,
9092_0,39,
9093_0,294,
9094_0,109,
9095_0,527,
9096_0,2532,
9097_0,1481,
9098_0,694,
9101_0,981,
9102_0,1367,
9103_0,115,
9104_0,30,
9105_0,1585,
9106_0,805,
9107_0,1613,
9108_0,25,
9109_0,825,
9110_0,118,
9111_0,59,
9112_0,1948,
9113_0,2287,
9114_0,38,
9115_0,525,
9116_0,439,
9118_0,325,
9119_0,484,
9120_0,326,
9121_0,805,
9122_0,53,
9123_0,1945,
9124_0,1444,
9125_0,1378,
9126_0,376,
9127_0,103,
9129_0,80,
9130_0,304,
9131_0,78,
9132_0,64,
9133_0,265,
9134_0,55,
9135_0,858,
9136_0,553,
9137_0,222,
9138_0,1268,
9139_0,548,
9140_0,846,
9141_0,147,
9142_0,16,
9143_0,30,
9144_0,783,
9145_0,2392,
9146_0,516,
9147_0,106,
9148_0,1173,
9150_0,661,
9151_0,2703,
9153_0,1322,
9154_0,580,
9155_0,210,
9156_0,759,
9157_0,1006,
9158_0,2144,
9159_0,1633,
9160_0,142,
9161_0,88,
9162_0,1051,
9163_0,2147,
9164_0,2571,
9165_0,708,
9166_0,66,
9167_0,1623,
9168_0,3920,
9169_0,447,
9170_0,469,
9171_0,307,
9172_0,1584,
9173_0,1752,
9174_0,740,
9175_0,2851,
9176_0,132,
9177_0,1634,
9178_0,593,
9179_0,150,
9180_0,545,
9181_0,927,
9182_0,478,
9184_0,555,
9185_0,1304,
9186_0,582,
9187_0,1697,
9188_0,68,
9189_0,1370,
9190_0,892,
9192_0,2585,
9193_0,1301,
9194_0,731,
9195_0,1731,
9196_0,690,
9197_0,339,
9198_0,-7,
9199_0,429,
9200_0,1852,
9201_0,336,
9203_0,891,
9204_0,1432,
9205_0,2097,
9206_0,1693,
9207_0,88,
9209_0,577,
9210_0,434,
9211_0,944,
9212_0,1354,
9213_0,-33,
9214_0,222,
9215_0,1685,
9216_0,1404,
9217_0,25,
9218_0,54,
9219_0,34,
9220_0,2237,
9221_0,319,
9222_0,272,
9223_0,67,
9224_0,1868,
9225_0,96,
9226_0,1026,
9227_0,46,
9228_0,2150,
9229_0,1758,
9230_0,953,
9231_0,1031,
9232_0,-5,
9233_0,936,
9234_0,-1,
9235_0,343,
9236_0,5,
9237_0,916,
9238_0,1357,
9239_0,3280,
9240_0,152,
9241_0,484,
9242_0,601,
9243_0,216,
9244_0,936,
9245_0,77,
9246_0,1628,
9247_0,1475,
9248_0,1715,
9249_0,680,
9250_0,791,
9251_0,432,
9252_0,1175,
9253_0,299,
9254_0,1060,
9255_0,162,
9256_0,941,
9257_0,551,
9258_0,1078,
9259_0,806,
9260_0,38,
9261_0,1732,
9262_0,236,
9263_0,650,
9264_0,582,
9265_0,687,
9266_0,1806,
9267_0,1226,
9268_0,71,
9269_0,231,
9270_0,63,
9272_0,826,
9273_0,438,
9274_0,1163,
9276_0,1619,
9277_0,688,
9278_0,542,
9279_0,2350,
9280_0,98,
9281_0,154,
9282_0,885,
9283_0,138,
9285_0,110,
9286_0,359,
9287_0,807,
9288_0,1420,
9289_0,82,
9290_0,1048,
9292_0,147,
9293_0,187,
9294_0,2081,
9295_0,476,
9296_0,599,
9298_0,1708,
9299_0,1845,
9300_0,1021,
9301_0,2458,
9302_0,423,
9303_0,-6,
9304_0,127,
9305_0,-22,
9306_0,1441,
9307_0,19,
9308_0,666,
9311_0,54,
9312_0,272,
9313_0,9,
9314_0,931,
9315_0,1773,
9318_0,917,
9319_0,1116,
9320_0,109,
9321_0,37,
9323_0,136,
9324_0,1581,
9325_0,1376,
9326_0,1009,
9327_0,1697,
9328_0,1712,
9329_0,759,
9330_0,753,
9331_0,276,
9332_0,-71,
9333_0,1218,
9334_0,419,
9336_0,117,
9337_0,1740,
9338_0,624,
9339_0,267,
9340_0,28,
9341_0,220,
9342_0,78,
9343_0,2221,
9345_0,1091,
9346_0,1,
9347_0,2651,
9348_0,903,
9349_0,1108,
9350_0,346,
9351_0,1391,
9353_0,1172,
9354_0,732,
9355_0,395,
9356_0,1843,
9358_0,457,
9359_0,67,
9360_0,1195,
9361_0,1207,
9362_0,2125,
9363_0,2151,
9364_0,2786,
9365_0,175,
9366_0,2100,
9367_0,298,
9368_0,741,
9369_0,766,
9371_0,767,
9372_0,1848,
9373_0,1641,
9374_0,2250,
9375_0,1554,
9376_0,33,
9377_0,707,
9379_0,829,
9380_0,594,
9381_0,1203,
9382_0,3035,
9383_0,1557,
9384_0,676,
9385_0,682,
9387_0,877,
9388_0,2289,
9389_0,545,
9390_0,1511,
9391_0,1611,
9392_0,1542,
9393_0,819,
9394_0,1030,
9395_0,52,
9396_0,511,
9397_0,48,
9398_0,83,
9399_0,808,
9400_0,2499,
9402_0,1434,
9403_0,32,
9405_0,406,
9407_0,185,
9408_0,310,
9409_0,103,
9410_0,62,
9411_0,315,
9412_0,168,
9413_0,6,
9414_0,64,
9415_0,494,
9416_0,1403,
9417_0,538,
9418_0,1187,
9419_0,9,
9420_0,364,
9421_0,3261,
9422_0,739,
9423_0,881,
9424_0,95,
9425_0,802,
9426_0,92,
9427_0,1315,
9428_0,1528,
9429_0,1006,
9430_0,399,
9431_0,61,
9433_0,118,
9434_0,2196,
9436_0,1105,
9438_0,2714,
9439_0,705,
9440_0,431,
9441_0,278,
9442_0,1378,
9443_0,713,
9444_0,893,
9445_0,1073,
9446_0,948,
9447_0,1773,
9448_0,2035,
9449_0,1720,
9450_0,971,
9451_0,2416,
9452_0,1309,
9453_0,206,
9454_0,1687,
9455_0,1278,
9456_0,1899,
9457_0,76,
9458_0,423,
9459_0,2985,
9460_0,558,
9461_0,509,
9462_0,170,
9463_0,106,
9464_0,339,
9465_0,896,
9466_0,-12,
9468_0,130,
9469_0,768,
9470_0,978,
9471_0,256,
9472_0,809,
9473_0,1424,
9474_0,821,
9475_0,2871,
9476_0,522,
9477_0,430,
9478_0,1075,
9479_0,1788,
9480_0,499,
9481_0,-22,
9482_0,1556,
9483_0,27,
9484_0,1357,
9485_0,1644,
9486_0,1932,
9487_0,2559,
9488_0,-2,
9490_0,2489,
9491_0,546,
9492_0,1478,
9493_0,2212,
9494_0,236,
9495_0,1366,
9496_0,272,
9497_0,459,
9498_0,1657,
9499_0,1981,
9502_0,649,
9503_0,679,
9504_0,559,
9505_0,1950,
9506_0,2070,
9507_0,1488,
9508_0,2408,
9509_0,689,
9510_0,1812,
9512_0,1517,
9513_0,21,
9514_0,468,
9515_0,971,
9516_0,980,
9517_0,1336,
9518_0,1993,
9519_0,1910,
9521_0,1259,
9522_0,902,
9523_0,1627,
9524_0,390,
9525_0,201,
9526_0,1499,
9527_0,238,
9528_0,1739,
9529_0,1247,
9530_0,121,
9531_0,1566,
9532_0,272,
9534_0,1473,
9535_0,621,
9536_0,225,
9537_0,1434,
9538_0,1899,
9539_0,18,
9540_0,591,
9541_0,1068,
9542_0,2315,
9543_0,164,
9544_0,931,
9545_0,310,
9546_0,1763,
9547_0,283,
9548_0,807,
9549_0,31,
9550_0,513,
9551_0,1293,
9552_0,1571,
9553_0,1002,
9554_0,1081,
9555_0,318,
9556_0,884,
9557_0,730,
9558_0,532,
9559_0,740,
9560_0,1136,
9561_0,416,
9562_0,380,
9563_0,1612,
9564_0,218,
9565_0,39,
9566_0,304,
9567_0,1248,
9568_0,223,
9569_0,2461,
9570_0,844,
9571_0,1713,
9572_0,751,
9573_0,1064,
9574_0,717,
9575_0,507,
9576_0,3040,
9577_0,726,
9578_0,1052,
9580_0,462,
9581_0,76,
9582_0,452,
9583_0,408,
9584_0,19,
9585_0,43,
9586_0,1502,
9587_0,162,
9588_0,1809,
9589_0,233,
9590_0,1105,
9591_0,254,
9592_0,966,
9593_0,437,
9594_0,263,
9595_0,13,
9596_0,549,
9597_0,1529,
9598_0,100,
9599_0,834,
9600_0,205,
9601_0,9,
9602_0,660,
9603_0,1384,
9604_0,14,
9605_0,757,
9606_0,100,
9607_0,927,
9608_0,525,
9609_0,699,
9610_0,1881,
9611_0,618,
9612_0,1112,
9613_0,639,
9614_0,616,
9615_0,81,
9617_0,2073,
9618_0,2793,
9619_0,228,
9621_0,1546,
9622_0,1341,
9623_0,3418,
9624_0,1053,
9625_0,1029,
9626_0,1706,
9627_0,1363,
9628_0,463,
9629_0,945,
9630_0,146,
9632_0,1182,
9633_0,115,
9634_0,607,
9635_0,853,
9636_0,1358,
9638_0,883,
9639_0,3446,
9640_0,1716,
9641_0,134,
9643_0,366,
9644_0,767,
9645_0,33,
9646_0,1273,
9648_0,1072,
9649_0,548,
9650_0,1582,
9651_0,1543,
9652_0,712,
9653_0,280,
9654_0,1342,
9655_0,12,
9656_0,1053,
9657_0,2288,
9658_0,1871,
9659_0,1352,
9660_0,1417,
9661_0,173,
9662_0,458,
9663_0,891,
9664_0,129,
9665_0,953,
9666_0,-14,
9668_0,516,
9669_0,769,
9670_0,1643,
9671_0,73,
9672_0,446,
9674_0,2750,
9675_0,1128,
9676_0,221,
9677_0,639,
9678_0,74,
9680_0,1024,
9681_0,86,
9682_0,925,
9683_0,1511,
9684_0,1262,
9685_0,17,
9686_0,632,
9687_0,59,
9688_0,302,
9689_0,107,
9690_0,3324,
9691_0,266,
9692_0,1631,
9694_0,603,
9695_0,272,
9696_0,728,
9697_0,1170,
9698_0,275,
9699_0,506,
9700_0,323,
9701_0,423,
9702_0,89,
9703_0,23,
9704_0,1037,
9705_0,819,
9706_0,1450,
9707_0,56,
9708_0,692,
9709_0,449,
9710_0,598,
9711_0,1228,
9712_0,88,
9714_0,2671,
9715_0,1423,
9716_0,1020,
9717_0,990,
9718_0,878,
9719_0,2193,
9720_0,1747,
9721_0,-6,
9722_0,1258,
9723_0,638,
9724_0,14,
9725_0,193,
9726_0,1686,
9727_0,-2,
9728_0,1533,
9729_0,856,
9730_0,1299,
9731_0,31,
9732_0,1838,
9733_0,1181,
9734_0,1179,
9735_0,353,
9736_0,897,
9737_0,996,
9738_0,13,
9739_0,2546,
9740_0,104,
9741_0,82,
9742_0,2,
9743_0,1336,
9744_0,67,
9746_0,1,
9749_0,1274,
9750_0,1492,
9752_0,85,
9753_0,6,
9754_0,1419,
9755_0,1446,
9756_0,763,
9757_0,793,
9759_0,104,
9760_0,205,
9761_0,125,
9762_0,364,
9763_0,1117,
9764_0,41,
9766_0,1840,
9767_0,6,
9768_0,1140,
9769_0,47,
9770_0,1167,
9771_0,1069,
9772_0,197,
9774_0,989,
9775_0,987,
9776_0,72,
9777_0,16,
9778_0,818,
9779_0,177,
9780_0,999,
9781_0,29,
9782_0,939,
9783_0,251,
9784_0,635,
9785_0,1129,
9786_0,351,
9787_0,1596,
9788_0,9,
9789_0,5,
9791_0,4,
9792_0,776,
9793_0,352,
9794_0,2940,
9795_0,49,
9796_0,185,
9797_0,934,
9798_0,931,
9799_0,41,
9800_0,1248,
9801_0,3112,
9802_0,2894,
9803_0,1695,
9804_0,2422,
9805_0,1,
9806_0,306,
9807_0,1410,
9808_0,632,
9809_0,1311,
9810_0,93,
9812_0,1935,
9815_0,1088,
9816_0,857,
9817_0,392,
9818_0,1117,
9819_0,1898,
9820_0,582,
9821_0,1237,
9822_0,653,
9823_0,83,
9824_0,17,
9826_0,532,
9827_0,22,
9828_0,672,
9829_0,516,
9830_0,285,
9831_0,1230,
9832_0,18,
9833_0,79,
9834_0,292,
9835_0,718,
9836_0,64,
9837_0,73,
9838_0,406,
9839_0,28,
9840_0,1136,
9841_0,283,
9842_0,1444,
9843_0,167,
9844_0,1167,
9845_0,933,
9846_0,1643,
9847_0,265,
9848_0,348,
9849_0,273,
9850_0,450,
9851_0,157,
9852_0,1731,
9853_0,870,
9854_0,919,
9855_0,683,
9856_0,2697,
9857_0,1583,
9858_0,1703,
9859_0,18,
9860_0,1330,
9861_0,1599,
9862_0,1,
9864_0,1547,
9865_0,461,
9866_0,378,
9869_0,293,
9870_0,1327,
9871_0,429,
9872_0,292,
9873_0,187,
9874_0,2790,
9875_0,2369,
9876_0,82,
9877_0,1024,
9878_0,1451,
9879_0,1008,
9880_0,340,
9881_0,432,
9882_0,22,
9883_0,45,
9885_0,1542,
9886_0,142,
9887_0,1223,
9888_0,1145,
9889_0,2603,
9890_0,76,
9891_0,887,
9892_0,38,
9893_0,1508,
9894_0,348,
9895_0,73,
9896_0,616,
9897_0,954,
9898_0,999,
9899_0,585,
9900_0,19,
9901_0,1229,
9902_0,741,
9903_0,1061,
9904_0,1203,
9905_0,181,
9908_0,-18,
9909_0,732,
9910_0,35,
9911_0,-71,
9912_0,882,
9913_0,521,
9914_0,71,
9915_0,1653,
9916_0,62,
9917_0,1526,
9918_0,429,
9919_0,1398,
9920_0,577,
9922_0,1036,
9923_0,482,
9924_0,769,
9925_0,145,
9926_0,1427,
9927_0,740,
9928_0,1052,
9929_0,113,
9930_0,49,
9931_0,199,
9932_0,1005,
9933_0,1521,
9934_0,24,
9935_0,914,
9936_0,2298,
9937_0,981,
9938_0,217,
9939_0,260,
9940_0,745,
9941_0,696,
9942_0,1384,
9943_0,299,
9944_0,508,
9945_0,87,
9946_0,54,
9947_0,1262,
9948_0,1244,
9950_0,1093,
9951_0,483,
9952_0,220,
9953_0,3086,
9954_0,850,
9955_0,-8,
9956_0,703,
9957_0,100,
9958_0,863,
9959_0,1205,
9960_0,1587,
9961_0,21,
9963_0,2541,
9965_0,1143,
9966_0,36,
9967_0,-43,
9968_0,520,
9970_0,164,
9971_0,2024,
9972_0,2879,
9973_0,6,
9974_0,1228,
9975_0,226,
9976_0,247,
9977_0,417,
9978_0,116,
9979_0,660,
9980_0,348,
9981_0,413,
9983_0,808,
9984_0,519,
9985_0,27,
9986_0,81,
9987_0,1215,
9988_0,915,
9989_0,936,
9990_0,368,
9991_0,1630,
9992_0,88,
9993_0,31,
9994_0,122,
9995_0,987,
9996_0,908,
9997_0,188,
9998_0,2163,
9999_0,720,
10000_0,477,
10001_0,474,
10002_0,158,
10003_0,1240,
10004_0,298,
10005_0,1989,
10006_0,574,
10007_0,65,
10008_0,907,
10009_0,639,
10010_0,923,
10011_0,325,
10012_0,861,
10013_0,1745,
10014_0,251,
10015_0,1363,
10016_0,369,
10017_0,823,
10018_0,68,
10019_0,-71,
10020_0,1456,
10021_0,41,
10022_0,917,
10023_0,1543,
10024_0,5,
10026_0,145,
10027_0,871,
10028_0,1469,
10029_0,60,
10030_0,1480,
10031_0,1665,
10032_0,3051,
10033_0,79,
10034_0,1542,
10036_0,270,
10037_0,336,
10038_0,403,
10039_0,864,
10040_0,253,
10041_0,60,
10042_0,2164,
10043_0,502,
10044_0,589,
10045_0,1605,
10046_0,896,
10047_0,384,
10048_0,1337,
10049_0,1974,
10050_0,2772,
10053_0,1569,
10054_0,816,
10055_0,2234,
10056_0,2262,
10057_0,964,
10058_0,158,
10059_0,1040,
10060_0,1474,
10061_0,1034,
10062_0,1537,
10063_0,1506,
10064_0,1334,
10065_0,1273,
10066_0,1556,
10067_0,701,
10068_0,2943,
10069_0,12,
10070_0,797,
10071_0,785,
10072_0,53,
10073_0,328,
10074_0,1689,
10075_0,627,
10076_0,24,
10077_0,1083,
10078_0,1163,
10079_0,29,
10080_0,2071,
10081_0,1417,
10082_0,243,
10083_0,51,
10084_0,2917,
10085_0,1139,
10086_0,1777,
10087_0,2856,
10088_0,38,
10089_0,21,
10091_0,64,
10092_0,1533,
10093_0,2010,
10095_0,145,
10096_0,1960,
10097_0,16,
10098_0,674,
10099_0,564,
10100_0,3253,
10101_0,1714,
10102_0,568,
10103_0,2317,
10104_0,1678,
10105_0,1771,
10106_0,1363,
10107_0,326,
10108_0,832,
10109_0,209,
10110_0,586,
10111_0,132,
10112_0,2300,
10113_0,344,
10114_0,1882,
10115_0,1159,
10116_0,2955,
10117_0,790,
10118_0,566,
10119_0,1311,
10120_0,693,
10121_0,2591,
10123_0,2183,
10124_0,623,
10125_0,1386,
10126_0,-71,
10127_0,576,
10128_0,1159,
10129_0,471,
10130_0,1570,
10131_0,1602,
10132_0,426,
10133_0,1092,
10134_0,1640,
10135_0,422,
10136_0,142,
10137_0,556,
10138_0,32,
10139_0,422,
10140_0,216,
10142_0,898,
10143_0,461,
10144_0,891,
10145_0,232,
10146_0,903,
10147_0,759,
10148_0,109,
10149_0,276,
10151_0,1125,
10152_0,1660,
10153_0,1423,
10154_0,275,
10155_0,1266,
10157_0,400,
10158_0,621,
10159_0,365,
10160_0,699,
10161_0,3256,
10162_0,629,
10163_0,918,
10164_0,3,
10165_0,893,
10166_0,1286,
10169_0,1843,
10170_0,646,
10171_0,625,
10172_0,297,
10173_0,1084,
10174_0,1712,
10175_0,1323,
10176_0,556,
10177_0,742,
10178_0,1780,
10179_0,1149,
10180_0,231,
10181_0,446,
10182_0,5,
10183_0,596,
10184_0,525,
10186_0,947,
10187_0,1673,
10188_0,523,
10189_0,1471,
10190_0,1130,
10191_0,648,
10192_0,3201,
10193_0,86,
10195_0,1374,
10196_0,383,
10197_0,612,
10198_0,504,
10199_0,649,
10200_0,967,
10202_0,22,
10203_0,879,
10204_0,15,
10205_0,172,
10206_0,1512,
10207_0,223,
10208_0,1028,
10210_0,35,
10211_0,1176,
10212_0,1316,
10214_0,1591,
10215_0,249,
10216_0,21,
10218_0,2561,
10219_0,475,
10220_0,453,
10221_0,1159,
10223_0,259,
10224_0,250,
10225_0,1415,
10226_0,470,
10227_0,657,
10228_0,297,
10229_0,1536,
10230_0,3284,
10231_0,777,
10232_0,2323,
10233_0,1614,
10234_0,1968,
10235_0,59,
10236_0,735,
10237_0,777,
10238_0,987,
10239_0,150,
10240_0,176,
10241_0,1740,
10242_0,1641,
10243_0,1453,
10244_0,249,
10245_0,-4,
10246_0,1258,
10247_0,1249,
10248_0,159,
10249_0,777,
10250_0,1056,
10251_0,57,
10252_0,1076,
10253_0,799,
10254_0,1571,
10255_0,516,
10256_0,1429,
10258_0,75,
10260_0,514,
10261_0,243,
10262_0,422,
10263_0,446,
10264_0,872,
10265_0,79,
10266_0,606,
10267_0,286,
10268_0,151,
10269_0,0,
10270_0,2150,
10271_0,681,
10272_0,1458,
10273_0,396,
10274_0,794,
10275_0,663,
10276_0,20,
10277_0,528,
10278_0,831,
10279_0,-71,
10280_0,559,
10281_0,572,
10282_0,1798,
10283_0,1501,
10284_0,1704,
10286_0,66,
10287_0,-76,
10288_0,847,
10289_0,1825,
10290_0,47,
10291_0,2163,
10292_0,148,
10293_0,377,
10295_0,225,
10296_0,1678,
10298_0,124,
10299_0,1431,
10300_0,2598,
10301_0,1536,
10302_0,742,
10303_0,520,
10304_0,489,
10305_0,-5,
10306_0,1838,
10307_0,370,
10309_0,1626,
10311_0,119,
10312_0,1348,
10313_0,765,
10314_0,2993,
10315_0,698,
10316_0,3183,
10317_0,968,
10318_0,2410,
10319_0,168,
10320_0,742,
10321_0,367,
10322_0,2086,
10323_0,354,
10324_0,33,
10325_0,14,
10326_0,663,
10327_0,502,
10328_0,2674,
10329_0,689,
10330_0,78,
10331_0,207,
10332_0,558,
10333_0,960,
10334_0,29,
10335_0,1862,
10336_0,818,
10338_0,1757,
10339_0,1315,
10340_0,46,
10341_0,2404,
10342_0,158,
10344_0,537,
10345_0,192,
10346_0,1189,
10347_0,61,
10348_0,142,
10349_0,1898,
10350_0,79,
10351_0,952,
10352_0,1681,
10353_0,644,
10354_0,1358,
10355_0,1818,
10356_0,1547,
10359_0,193,
10360_0,759,
10361_0,713,
10362_0,-71,
10363_0,1223,
10364_0,228,
10365_0,578,
10366_0,780,
10367_0,546,
10368_0,412,
10369_0,2064,
10370_0,522,
10372_0,555,
10373_0,665,
10374_0,127,
10375_0,111,
10376_0,253,
10377_0,2935,
10378_0,430,
10379_0,339,
10380_0,289,
10381_0,188,
10382_0,154,
10383_0,263,
10384_0,1319,
10385_0,637,
10386_0,271,
10387_0,576,
