system:index,gHM,.geo
1062_0,0.14969853,
1063_0,0.005565099,
1064_0,0.27338868,
1065_0,0.79719543,
1066_0,0.28819934,
1067_0,0.55121034,
1068_0,0.5739026,
1069_0,0.0026311183,
1071_0,0.14798959,
1072_0,0.038489643,
1073_0,0.124548085,
1074_0,0.035854623,
1075_0,0.069787964,
1076_0,0.045642782,
1077_0,0.51606303,
1078_0,0.75300735,
1079_0,0.64304966,
1080_0,0.004110573,
1081_0,0.13633807,
1082_0,0.024447287,
1083_0,0.71029407,
1084_0,0.0014482317,
1085_0,0.31933013,
1086_0,0.06457392,
1087_0,0.02315858,
1088_0,0.010695306,
1090_0,0.20273294,
1091_0,0.17492194,
1092_0,0.035991654,
1093_0,0.17557846,
1094_0,0.021915589,
1095_0,1.3071133E-4,
1096_0,0.0021329795,
1097_0,0.015036684,
1098_0,0.28442475,
1100_0,0.029537093,
1101_0,2.9376367E-4,
1102_0,0.022101449,
1103_0,0.09857897,
1104_0,0.83767384,
1105_0,0.0096546775,
1107_0,0.12820414,
1108_0,0.042218972,
1109_0,0.45478114,
1110_0,0.054148626,
1111_0,0.6089077,
1112_0,0.047121663,
1113_0,0.030149715,
1114_0,0.13532546,
1115_0,0.035994526,
1116_0,0.18944228,
1117_0,0.0,
1118_0,0.05732501,
1119_0,0.08547188,
1120_0,0.0,
1121_0,0.021136304,
1122_0,0.045362107,
1123_0,0.07839519,
1124_0,0.024997057,
1125_0,0.27570608,
1126_0,0.019894553,
1127_0,0.5201662,
1129_0,0.6491287,
1130_0,0.0,
1131_0,0.38221025,
1132_0,0.90246004,
1133_0,0.5727167,
1134_0,0.059389144,
1135_0,0.0033869143,
1136_0,0.020153945,
1137_0,0.06134717,
1138_0,0.49193957,
1139_0,0.15868698,
1140_0,0.1299181,
1141_0,0.36263523,
1142_0,0.024096692,
1143_0,0.057356495,
1145_0,0.32718843,
1146_0,0.0,
1147_0,0.018014757,
1148_0,0.03798088,
1150_0,0.41736418,
1151_0,0.5849042,
1152_0,0.43420297,
1153_0,0.39992344,
1154_0,0.059998453,
1155_0,0.09484795,
1156_0,0.2538933,
1157_0,1.30870585E-5,
1158_0,0.15265858,
1159_0,0.07425948,
1160_0,6.530435E-4,
1161_0,0.022455776,
1163_0,0.05031914,
1164_0,0.07842669,
1165_0,0.35937417,
1166_0,0.01803833,
1167_0,0.07209894,
1168_0,0.04343265,
1169_0,0.7186035,
1170_0,0.5004996,
1171_0,0.034242418,
1172_0,0.024536286,
1174_0,0.048920672,
1175_0,8.823978E-4,
1176_0,0.0838214,
1177_0,0.22868139,
1178_0,1.8182417E-4,
1179_0,0.04399096,
1180_0,0.0,
1181_0,0.63296425,
1182_0,0.0048025027,
1183_0,0.02621368,
1184_0,0.5823333,
1185_0,0.0,
1186_0,0.39106858,
1187_0,0.28711474,
1188_0,0.13551554,
1189_0,0.028897079,
1190_0,0.84752554,
1191_0,0.029177617,
1192_0,0.0056797913,
1193_0,0.011270499,
1194_0,0.40121627,
1195_0,0.019008234,
1196_0,0.028448397,
1197_0,0.27789658,
1198_0,0.03180022,
1200_0,0.0028545947,
1202_0,0.61718667,
1203_0,0.0011440564,
1204_0,0.27932265,
1205_0,0.008256551,
1206_0,0.38821894,
1208_0,0.07155332,
1209_0,0.104428664,
1210_0,0.02889364,
1212_0,0.043560226,
1214_0,0.12334741,
1215_0,0.023818735,
1217_0,0.03142483,
1218_0,0.0018232828,
1219_0,0.5788916,
1220_0,0.06502186,
1221_0,0.436604,
1222_0,0.25709626,
1223_0,0.3340826,
1224_0,0.0010343703,
1225_0,0.08610663,
1226_0,0.17160371,
1227_0,0.35552272,
1228_0,0.09209181,
1229_0,0.03605024,
1230_0,0.35605592,
1232_0,0.0017384465,
1233_0,0.39638487,
1234_0,0.047089554,
1235_0,0.40545994,
1236_0,0.0790545,
1237_0,0.25653255,
1238_0,0.018964544,
1239_0,0.9372108,
1240_0,0.12817429,
1242_0,0.069916286,
1243_0,0.026984703,
1244_0,0.79848,
1245_0,0.0,
1246_0,0.6397485,
1247_0,0.73366046,
1248_0,0.5517106,
1249_0,9.790055E-4,
1250_0,0.0017611746,
1251_0,0.93888265,
1252_0,0.27711472,
1253_0,0.8325048,
1254_0,0.006984869,
1255_0,0.12767933,
1256_0,0.5051732,
1257_0,0.08910076,
1258_0,0.030478468,
1259_0,0.059817713,
1260_0,0.30527872,
1261_0,0.061719898,
1262_0,0.49694824,
1263_0,0.17266695,
1264_0,4.1891818E-4,
1265_0,0.039580096,
1266_0,0.0045876717,
1267_0,0.0017236772,
1268_0,0.33037823,
1269_0,0.059072994,
1270_0,0.020268,
1271_0,0.0464431,
1272_0,0.0026831627,
1273_0,0.3788262,
1274_0,0.30147427,
1275_0,0.11623653,
1276_0,0.028738182,
1277_0,0.043331586,
1278_0,0.019880975,
1279_0,0.124062344,
1280_0,0.044397928,
1281_0,0.01637905,
1282_0,1.7800198E-4,
1283_0,0.0503604,
1284_0,0.6536697,
1285_0,0.0,
1286_0,0.11463902,
1287_0,0.086085275,
1288_0,0.34383532,
1289_0,0.074298024,
1290_0,0.14200543,
1291_0,0.11750051,
1292_0,2.6987342E-7,
1293_0,0.1035437,
1295_0,0.14583722,
1296_0,0.27691472,
1297_0,0.09717348,
1298_0,0.9228352,
1299_0,0.0,
1300_0,0.020376168,
1301_0,5.094202E-4,
1302_0,0.0,
1304_0,0.09995375,
1305_0,0.12263383,
1306_0,0.042609345,
1307_0,0.34401786,
1308_0,0.025676137,
1309_0,0.0,
1310_0,0.018486444,
1311_0,0.86266476,
1312_0,0.20387107,
1313_0,0.93756,
1314_0,0.031235918,
1315_0,0.016562037,
1316_0,0.09188977,
1317_0,0.0,
1318_0,0.102968,
1319_0,0.13372792,
1320_0,0.059939086,
1321_0,0.15459149,
1322_0,0.21830395,
1323_0,0.22897685,
1324_0,0.026676642,
1325_0,0.006728968,
1326_0,0.023091406,
1328_0,0.54300135,
1329_0,0.5235394,
1330_0,0.47821468,
1331_0,0.043913435,
1332_0,0.019667309,
1333_0,0.026213588,
1334_0,0.7897614,
1335_0,0.8887953,
