Date,Time,NadirX-NAD83,NadirY-NAD83,Depth
6/6/2016,14:58:41,376527.7304,4625384.741,3.1
6/6/2016,14:58:42,376529.3704,4625387.311,3.1
6/6/2016,14:58:43,376530.9904,4625389.851,3.2
6/6/2016,14:58:44,376532.5804,4625392.351,3.1
6/6/2016,14:58:45,376534.1404,4625394.811,3.1
6/6/2016,14:58:46,376535.6504,4625397.211,3.2
6/6/2016,14:58:47,376537.1204,4625399.531,3.3
6/6/2016,14:58:48,376538.5204,4625401.771,3.3
6/6/2016,14:58:49,376539.8604,4625403.911,3.3
6/6/2016,14:58:50,376541.1304,4625405.951,3.4
6/6/2016,14:58:51,376542.3204,4625407.881,3.5
6/6/2016,14:58:52,376543.4604,4625409.731,3.5
6/6/2016,14:58:53,376544.5604,4625411.521,3.5
6/6/2016,14:58:54,376545.6404,4625413.261,3.6
6/6/2016,14:58:56,376546.7104,4625414.991,3.6
6/6/2016,14:58:57,376547.7904,4625416.721,3.6
6/6/2016,14:58:58,376548.9004,4625418.471,3.5
6/6/2016,14:58:59,376550.0504,4625420.281,3.7
6/6/2016,14:59:00,376551.2704,4625422.151,3.7
6/6/2016,14:59:01,376552.5604,4625424.111,3.8
6/6/2016,14:59:02,376553.9504,4625426.191,3.8
6/6/2016,14:59:03,376555.4504,4625428.401,3.9
6/6/2016,14:59:04,376557.0804,4625430.761,3.8
6/6/2016,14:59:05,376558.8004,4625433.231,3.8
6/6/2016,14:59:06,376560.5904,4625435.791,3.9
6/6/2016,14:59:07,376562.4304,4625438.411,4
6/6/2016,14:59:08,376564.2904,4625441.041,4
6/6/2016,14:59:09,376566.1404,4625443.661,4.1
6/6/2016,14:59:10,376567.9604,4625446.231,4.2
6/6/2016,14:59:11,376569.7204,4625448.721,4
6/6/2016,14:59:12,376571.4004,4625451.101,4.3
6/6/2016,14:59:13,376572.9704,4625453.341,4.4
6/6/2016,14:59:15,376574.4004,4625455.391,4.5
6/6/2016,14:59:16,376575.6704,4625457.241,4.6
6/6/2016,14:59:17,376576.7504,4625458.851,4.4
6/6/2016,14:59:18,376577.6604,4625460.231,4.3
6/6/2016,14:59:19,376578.4304,4625461.441,4.3
6/6/2016,14:59:20,376579.0904,4625462.491,4.4
6/6/2016,14:59:21,376579.6704,4625463.441,4.4
6/6/2016,14:59:22,376580.1904,4625464.321,4.4
6/6/2016,14:59:23,376580.7004,4625465.161,4.2
6/6/2016,14:59:24,376581.2104,4625466.021,4.3
6/6/2016,14:59:25,376581.7604,4625466.921,4.4
6/6/2016,14:59:26,376582.3704,4625467.901,4.3
6/6/2016,14:59:27,376583.0904,4625469.011,4.2
6/6/2016,14:59:28,376583.9304,4625470.271,4.2
6/6/2016,14:59:29,376584.9304,4625471.731,4.5
6/6/2016,14:59:30,376586.0904,4625473.401,4.6
6/6/2016,14:59:31,376587.4004,4625475.251,4.8
6/6/2016,14:59:33,376588.8304,4625477.271,4.6
6/6/2016,14:59:34,376590.3804,4625479.431,4.6
6/6/2016,14:59:35,376592.0204,4625481.721,4.5
6/6/2016,14:59:36,376593.7404,4625484.111,4.6
6/6/2016,14:59:37,376595.5104,4625486.581,4.7
6/6/2016,14:59:38,376597.3304,4625489.121,4.8
6/6/2016,14:59:39,376599.1604,4625491.701,4.6
6/6/2016,14:59:40,376601.0104,4625494.301,4.6
6/6/2016,14:59:41,376602.8404,4625496.911,4.6
6/6/2016,14:59:42,376604.6504,4625499.491,4.7
6/6/2016,14:59:43,376606.4104,4625502.051,4.8
6/6/2016,14:59:44,376608.1304,4625504.571,4.8
6/6/2016,14:59:45,376609.8204,4625507.071,4.8
6/6/2016,14:59:46,376611.4804,4625509.551,4.8
6/6/2016,14:59:47,376613.1204,4625512.011,4.8
6/6/2016,14:59:48,376614.7304,4625514.461,4.9
6/6/2016,14:59:49,376616.3204,4625516.901,4.9
6/6/2016,14:59:50,376617.9004,4625519.341,5
6/6/2016,14:59:52,376619.4704,4625521.781,5
6/6/2016,14:59:53,376621.0404,4625524.231,5.1
6/6/2016,14:59:54,376622.6004,4625526.691,5
6/6/2016,14:59:55,376624.1704,4625529.161,5
6/6/2016,14:59:56,376625.7404,4625531.651,5
6/6/2016,14:59:57,376627.3104,4625534.151,5
6/6/2016,14:59:58,376628.9004,4625536.671,4.9
6/6/2016,14:59:59,376630.4904,4625539.201,4.9
6/6/2016,15:00:00,376632.0904,4625541.731,4.9
6/6/2016,15:00:01,376633.6904,4625544.261,5
6/6/2016,15:00:02,376635.3104,4625546.791,4.9
6/6/2016,15:00:03,376636.9304,4625549.321,4.9
6/6/2016,15:00:04,376638.5604,4625551.841,5
6/6/2016,15:00:05,376640.2104,4625554.341,5
6/6/2016,15:00:06,376641.8604,4625556.831,5.1
6/6/2016,15:00:07,376643.5104,4625559.301,5.1
6/6/2016,15:00:08,376645.1804,4625561.741,5.1
6/6/2016,15:00:09,376646.8604,4625564.171,5.2
6/6/2016,15:00:11,376648.5404,4625566.591,5.2
6/6/2016,15:00:12,376650.2204,4625569.001,5.1
6/6/2016,15:00:13,376651.9004,4625571.431,5.1
6/6/2016,15:00:14,376653.5604,4625573.871,5.1
6/6/2016,15:00:15,376655.2204,4625576.351,5.1
